Date;Close;Open;High;Low;Volume;Variation;return;volatility;lag1;lag2;vol_lag1;vol_lag2;ret_abs;ret_sq;ma5;ma20;std5;std20
2022-08-15;987.14;986.8;989.68;981.8;;0.03;0.0003444886910061188;0.0047323112781904745;0.006639340732469246;0.008904431609298036;0.004753644004242065;0.004782724342245971;0.0003444886910061188;1.186724582311092e-07;979.344;965.2349999999999;0.003728145185404959;0.0047323112781904745
2022-08-16;988.54;987.14;989.74;986.81;;0.14;0.0014172337973062492;0.004470505547987814;0.0003444886910061188;0.006639340732469246;0.0047323112781904745;0.004753644004242065;0.0014172337973062492;2.0085516362270904e-06;982.866;966.2779999999999;0.003915566739744184;0.004470505547987814
2022-08-17;986.72;988.54;990.49;983.8;;-0.18;-0.0018427959003313023;0.004503217557056455;0.0014172337973062492;0.0003444886910061188;0.004470505547987814;0.0047323112781904745;0.0018427959003313023;3.395896730277855e-06;985.8939999999999;967.2595000000001;0.00450205111123859;0.004503217557056455
2022-08-18;986.63;986.72;989.71;985.32;;-0.01;-9.121544587882159e-05;0.004504454930676303;-0.0018427959003313023;0.0014172337973062492;0.004503217557056455;0.004470505547987814;9.121544587882159e-05;8.320257566872231e-09;987.1659999999999;968.2360000000001;0.003211219957214383;0.004504454930676303
2022-08-19;987.3;986.63;988.36;984.43;;0.07;0.0006788488201000408;0.004466356879048921;-9.121544587882159e-05;-0.0018427959003313023;0.004504454930676303;0.004503217557056455;0.0006788488201000408;4.608357205512176e-07;987.266;969.3195;0.0012187038405404502;0.004466356879048921
2022-08-22;983.11;987.3;987.75;982.88;;-0.42;-0.0042529283910608855;0.004001735858151062;0.0006788488201000408;-9.121544587882159e-05;0.004466356879048921;0.004504454930676303;0.0042529283910608855;1.8087399899491734e-05;986.4599999999998;970.6265000000001;0.0022701311553016326;0.004001735858151062
2022-08-23;985.04;983.11;988.48;982.66;;0.2;0.0019612332582730914;0.003855285057563391;-0.0042529283910608855;0.0006788488201000408;0.004001735858151062;0.004466356879048921;0.0019612332582730914;3.846435893356486e-06;985.7599999999999;972.184;0.002412615212313547;0.003855285057563391
2022-08-24;986.76;985.04;986.76;978.11;;0.17;0.0017445992861883648;0.0036746336249782988;0.0019612332582730914;-0.0042529283910608855;0.003855285057563391;0.004001735858151062;0.0017445992861883648;3.043626669368952e-06;985.768;973.9870000000001;0.0025222157809208865;0.0036746336249782988
2022-08-25;989.3;986.76;989.64;983.37;;0.26;0.002570773558372452;0.0035905786906906233;0.0017445992861883648;0.0019612332582730914;0.0036746336249782988;0.003855285057563391;0.002570773558372452;6.608876688426959e-06;986.302;975.665;0.0027652506640492413;0.0035905786906906233
2022-08-26;986.57;989.3;992.27;985.01;;-0.28;-0.0027633414518186575;0.003676051154888113;0.002570773558372452;0.0017445992861883648;0.0035905786906906233;0.0036746336249782988;0.0027633414518186575;7.636055979339246e-06;986.156;977.2610000000001;0.0031270183338251724;0.003676051154888113
2022-08-29;985.4;986.57;987.44;984.45;;-0.12;-0.0011866307674955174;0.003650428921697986;-0.0027633414518186575;0.002570773558372452;0.003676051154888113;0.0035905786906906233;0.0011866307674955174;1.4080925783670006e-06;986.6139999999999;978.57;0.0023162708586901884;0.003650428921697986
2022-08-30;982.98;985.4;987.11;982.5;;-0.25;-0.0024588760496356624;0.0036098145727611326;-0.0011866307674955174;-0.0027633414518186575;0.003650428921697986;0.003676051154888113;0.0024588760496356624;6.046071427471881e-06;986.202;979.908;0.002442652015354889;0.0036098145727611326
2022-08-31;981.48;982.98;987.58;979.64;;-0.15;-0.001527137525343965;0.0036651804397847764;-0.0024588760496356624;-0.0011866307674955174;0.0036098145727611326;0.003650428921697986;0.001527137525343965;2.3321490213136893e-06;985.146;981.141;0.002137413461851851;0.0036651804397847764
2022-09-01;980.63;981.48;983.14;976.77;;-0.09;-0.0008664142715471837;0.0036592844644054096;-0.001527137525343965;-0.0024588760496356624;0.0036651804397847764;0.0036098145727611326;0.0008664142715471837;7.506736899406371e-07;983.412;982.1690000000001;0.0008180148703734379;0.0036592844644054096
2022-09-02;981.35;980.63;985.57;978.04;;0.07;0.000733952468752089;0.0031387444273539636;-0.0008664142715471837;-0.001527137525343965;0.0036592844644054096;0.0036651804397847764;0.000733952468752089;5.386862263872862e-07;982.368;982.7965;0.0011669235944314212;0.0031387444273539636
2022-09-05;982.01;981.35;987.96;979.52;;0.07;0.0006723168699173352;0.0031000193953810177;0.000733952468752089;-0.0008664142715471837;0.0031387444273539636;0.0036592844644054096;0.0006723168699173352;4.52009973575443e-07;981.6900000000002;983.527;0.0013914370850340912;0.0031000193953810177
2022-09-06;978.36;976.42;979.52;975.57;;-0.37;-0.003723791139185651;0.003174908593243828;0.0006723168699173352;0.000733952468752089;0.0031000193953810177;0.0031387444273539636;0.003723791139185651;1.386662044827757e-05;980.766;983.8984999999999;0.0018372055186788548;0.003174908593243828
2022-09-07;982.93;978.36;986.01;978.35;;0.47;0.004660206568895475;0.0033162411832111127;-0.003723791139185651;0.0006723168699173352;0.003174908593243828;0.0031000193953810177;0.004660206568895475;2.1717525264776535e-05;981.0560000000002;984.466;0.0030368421381014115;0.0033162411832111127
2022-09-08;982.48;982.93;986.36;980.81;;-0.05;-0.00045791972958654373;0.002678997003537704;0.004660206568895475;-0.003723791139185651;0.0033162411832111127;0.003174908593243828;0.00045791972958654373;2.0969047874461333e-07;981.426;984.5764999999999;0.003003084436936035;0.002678997003537704
2022-09-09;980.53;982.48;987.23;980.53;;-0.2;-0.0019867454994249374;0.002229607752450661;-0.00045791972958654373;0.004660206568895475;0.002678997003537704;0.0033162411832111127;0.0019867454994249374;3.947157679485244e-06;981.262;984.2630000000001;0.003164381735520104;0.002229607752450661
2022-09-12;980.46;980.53;983.27;978.46;;-0.01;-7.139251095583143e-05;0.002225031659391064;-0.0019867454994249374;-0.00045791972958654373;0.002229607752450661;0.002678997003537704;7.139251095583143e-05;5.0968906205785115e-09;980.952;983.9290000000001;0.0031323727746004593;0.002225031659391064
2022-09-13;981.47;980.46;982.51;979.73;;0.1;0.0010295984966056815;0.0022105650014921183;-7.139251095583143e-05;-0.0019867454994249374;0.002225031659391064;0.002229607752450661;0.0010295984966056815;1.0600730642126797e-06;981.574;983.5755000000001;0.002496247631975457;0.0022105650014921183
2022-09-14;979.25;980.38;982.07;977.81;;-0.23;-0.0022644752424128764;0.002227409972697866;0.0010295984966056815;-7.139251095583143e-05;0.0022105650014921183;0.002225031659391064;0.0022644752424128764;5.127848123500855e-06;980.8380000000001;983.202;0.0013725855468101783;0.002227409972697866
2022-09-15;980.16;979.25;983.25;978.03;;0.09;0.0009288510984696629;0.002245971234961833;-0.0022644752424128764;0.0010295984966056815;0.002227409972697866;0.0022105650014921183;0.0009288510984696629;8.627643631282995e-07;980.374;982.8785;0.0015720278433325988;0.002245971234961833
2022-09-16;984.29;980.16;984.29;980.16;;0.42;0.00420474543493084;0.0024576473926301553;0.0009288510984696629;-0.0022644752424128764;0.002245971234961833;0.002227409972697866;0.00420474543493084;1.7679884172571738e-05;981.126;982.7279999999998;0.002334843667011498;0.0024576473926301553
2022-09-19;981.51;984.29;984.37;981.51;;-0.28;-0.0028283669277181646;0.0023508827720014817;0.00420474543493084;0.0009288510984696629;0.0024576473926301553;0.002245971234961833;0.0028283669277181646;7.99965947780989e-06;981.336;982.6479999999999;0.0028504867195048543;0.0023508827720014817
2022-09-20;983.91;981.51;984.77;980.27;;0.24;0.002442227302962938;0.0023752136953788363;-0.0028283669277181646;0.00420474543493084;0.0023508827720014817;0.0024576473926301553;0.002442227302962938;5.964474199337627e-06;981.824;982.5915000000001;0.003016686540949294;0.0023752136953788363
2022-09-21;985.18;983.91;985.25;980.33;;0.13;0.0012899361391300289;0.0023591808053429948;0.002442227302962938;-0.0028283669277181646;0.0023752136953788363;0.0023508827720014817;0.0012899361391300289;1.6639352430336851e-06;983.01;982.5125;0.002592329767468609;0.0023591808053429948
2022-09-22;986.91;985.18;988.5;983.8;;0.18;0.001754484271788886;0.0023176003963979743;0.0012899361391300289;0.002442227302962938;0.0023591808053429948;0.0023752136953788363;0.001754484271788886;3.078215059954578e-06;984.36;982.393;0.0025964370958305822;0.0023176003963979743
2022-09-23;990.9;986.91;990.9;985.16;;0.4;0.004034771199348627;0.0024064723580346403;0.001754484271788886;0.0012899361391300289;0.0023176003963979743;0.0023591808053429948;0.004034771199348627;1.627937863109316e-05;985.682;982.6094999999999;0.0025507976024703605;0.0024064723580346403
